,I1,C2,data_updated,industry_bin,C3_prime
212,EPAM,1.0,0,Services,1
213,EPOC,1.0,0,Services,1
214,ERII,1.0,0,Manufacturing,1
216,ETRM,1.0,1,Manufacturing,0
218,EVVV,1.0,0,Manufacturing,0
219,EXA,0.0,0,Services,1
220,EXAM,1.0,0,Services,0
221,EXLS,1.0,0,Other,1
222,EXPR,1.0,0,Retail Trade,0
223,EYET,1.0,0,Manufacturing,0
224,FACE,1.0,0,Manufacturing,1
225,FANG,1.0,0,Mining,0
226,FB,1.0,0,Services,1
227,FCL,1.0,0,Mining,1
228,FFN,0.0,0,Services,0
229,FIO,1.0,0,Manufacturing,0
230,FIRE,1.0,0,Services,0
231,FIVE,1.0,0,Retail Trade,1
232,FLT,1.0,0,Services,1
233,FLTX,1.0,0,Services,1
234,FN,1.0,0,Manufacturing,1
235,FNET,0.0,0,Manufacturing,1
236,FOLD,1.0,1,Manufacturing,0
237,FOXH,1.0,0,Manufacturing,0
238,FRAN,1.0,0,Retail Trade,1
239,FRP,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
240,FSL,1.0,0,Manufacturing,0
241,FSLR,1.0,0,Manufacturing,0
242,FSTC,1.0,0,Services,1
243,FTD,1.0,1,Services,0
244,FTNT,1.0,0,Manufacturing,1
245,FUQI,0.0,0,Manufacturing,1
246,G,1.0,0,Other,1
247,GASS,0.0,1,"Transportation, Communications, Electric, Gas and Sanitary service",0
248,GEVO,1.0,0,Services,0
249,GGL,1.0,0,Manufacturing,1
250,GGS,1.0,0,Mining,1
251,GGXY,1.0,0,Retail Trade,1
252,GHDX,1.0,0,Services,0
253,GKIS,1.0,0,Manufacturing,1
254,GLOG,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
255,GLUU,1.0,0,Services,0
256,GMAN,1.0,0,Retail Trade,1
257,GMED,1.0,0,Manufacturing,1
258,GMET,1.0,0,Mining,0
259,GMTN,1.0,0,Retail Trade,0
260,GNMK,0.0,0,Manufacturing,0
261,GNOM,1.0,0,Services,0
262,GNRC,1.0,0,Manufacturing,1
263,GOLF,1.0,0,Retail Trade,1
264,GOOG,1.0,0,Services,1
265,GRPN,1.0,0,Services,0
266,GSAT,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
267,GSE,0.0,1,Manufacturing,0
269,GTEC,0.0,0,Services,1
270,GTOP,0.0,1,Manufacturing,0
271,GTXI,1.0,1,Manufacturing,0
272,GUID,1.0,0,Services,1
273,GWAY,1.0,0,Services,1
274,GXDX,1.0,0,Services,0
275,HCA,1.0,0,Services,1
