,I1,Y1,Y2
489,RBCN,0,1
491,RDYN,1,1
492,REDE,0,1
493,REGI,1,1
494,REST,1,1
495,REXX,1,0
497,RHEO,0,1
498,RKUS,0,0
499,RLD,0,1
500,RLOC,1,1
501,RNDY,1,1
502,RNET,1,1
504,RNOW,1,0
505,ROC,1,0
506,ROLL,1,1
507,ROSG,1,1
508,ROX,0,0
509,RP,1,1
510,RRR,1,0
511,RRST,0,0
512,RRTS,1,0
513,RST,0,1
514,RUE,0,1
515,RVBD,0,0
516,SAI,0,1
517,SAVE,1,0
518,SB,1,0
519,SCMP,1,1
520,SCOP,1,1
521,SCOR,0,1
522,SCTY,1,1
523,SDXC,0,1
524,SEM,1,1
525,SENO,1,1
526,SFLY,0,1
527,SFSF,0,1
528,SGOC,1,1
529,SGTL,0,1
530,SGXP,1,0
531,SHMR,0,1
532,SHO,1,0
533,SHOR,0,1
534,SIRF,0,1
535,SIRT,0,1
536,SLCA,0,0
537,SLRY,0,1
538,SMA,0,1
539,SMBI,0,1
540,SMCI,1,1
541,SN,1,0
542,SNCR,1,1
543,SNMX,1,1
544,SNTA,1,0
545,SOLR,0,0
546,SOMX,0,1
547,SPLK,0,1
548,SPWR,0,1
549,SQI,1,1
550,SREV,0,1
551,SRVY,1,1
552,SSNC,0,1
553,SSNI,0,1
554,SSTK,0,1
555,ST,1,1
556,STAK,0,1
557,STAR,0,1
558,STNG,1,0
559,STRI,1,1
561,STXS,1,1
562,SUSS,1,1
563,SVR,1,0
564,SWFT,1,1
565,SWI,0,1
566,SWSI,0,1
567,SXC,0,1
568,SXE,0,1
569,SZYM,0,1
570,TARG,1,0
571,TAST,1,0
572,TBSI,1,1
573,TDG,0,1
574,TEA,0,1
575,TEU,1,0
576,TFM,0,1
577,TGH,1,1
578,THLD,1,1
579,THR,1,1
580,THRM,1,0
581,THRX,0,0
582,TIS,0,0
583,TITN,0,1
584,TLEO,1,0
585,TLVT,1,1
586,TMH,1,1
587,TNAV,1,1
588,TNDM,0,1
589,TNK,0,1
590,TOWR,1,0
591,TRAK,0,1
592,TRBN,1,1
593,TRCA,1,0
594,TRFC,0,1
595,TRGT,1,1
596,TRLA,0,1
598,TRS,1,0
599,TRW,1,0
600,TRX,1,0
601,TRXI,1,0
602,TSLA,0,1
603,TSON,0,1
604,TSRA,0,1
605,TSRO,0,1
606,TSRX,1,0
607,TTGT,0,1
608,TTPH,1,0
609,TTPY,0,1
610,TUMI,0,1
611,TWLL,1,0
612,TXRH,0,0
613,TYPE,1,1
616,UACL,0,1
617,UAPH,0,1
618,UBNT,1,1
619,UNCA,0,1
620,UPG,1,1
621,USBE,1,1
622,V,0,0
623,VCC,0,1
624,VCG,1,1
625,VCRA,0,1
626,VG,0,0
627,VIAC,1,1
628,VITC,0,1
629,VLCM,0,1
630,VLRX,1,1
631,VM,1,1
632,VNDA,1,0
633,VNTV,0,1
634,VNUS,0,1
635,VOCS,1,1
636,VOLC,1,1
637,VPRT,0,1
638,VQ,1,0
639,VRA,0,1
640,VRAD,0,1
641,VRAZ,1,1
642,VRGY,1,0
643,VRSK,0,1
644,VRTU,1,0
645,VSE,0,1
646,VSI,0,1
647,VSTM,0,1
648,VTUS,1,1
649,WAGE,1,1
650,WAIR,1,0
651,WBMD,0,0
652,WCAA,1,0
653,WCG,0,1
654,WCRX,1,0
655,WDAY,0,1
656,WIFI,0,0
657,WLDN,0,1
658,WLK,1,0
659,WLL,0,0
660,WLSC,1,0
661,WMG,1,0
662,WNR,0,1
663,WOLF,0,1
664,WSSI,0,1
665,WSTC,1,0
666,WTI,0,0
667,XCYT,1,1
668,XGEN,1,1
669,XPRT,0,1
670,XRM,1,1
671,XTNT,1,1
672,XTXI,0,0
673,Z,0,1
674,ZBB,0,1
676,ZINC,1,1
677,ZIP,0,1
678,ZLTQ,1,1
679,ZSTN,0,0
680,ZUMZ,0,0
681,ZZ,0,0
